Date,BTC Volume,BTC Daily Volume Change (%),BTC New Coins Mined,BTC New Coins Mined (%),BTC Active Addresses,BTC Daily Active Addresses Change (%),BTC Transactions,BTC Daily Transactions Change (%)
2009-04-14,0.0,-1.0,6200.0,0.07826086956521738,0,-1.0,0,-1.0
2009-04-15,0.0,,5650.0,-0.08870967741935487,0,,0,
2009-04-16,0.0,,6150.0,0.08849557522123885,0,,0,
2009-04-17,0.0,,5600.0,-0.08943089430894313,0,,0,
2009-04-18,182.51,inf,6300.0,0.125,5,inf,4,inf
2009-04-19,400.0,1.191660730918854,5950.0,-0.05555555555555558,9,0.8,1,-0.75
2009-04-20,5750.0,13.375,5950.0,0.0,117,12.0,2,1.0
2009-04-21,50.0,-0.991304347826087,6150.0,0.03361344537815136,2,-0.9829059829059829,1,-0.5
2009-04-22,0.0,-1.0,6050.0,-0.016260162601625994,0,-1.0,0,-1.0
2009-04-23,0.0,,3750.0,-0.3801652892561983,0,,0,
2009-04-24,0.0,,5750.0,0.5333333333333334,0,,0,
2009-04-25,0.0,,5900.0,0.026086956521739202,0,,0,
2009-04-26,750.0,inf,5600.0,-0.05084745762711862,16,inf,2,inf
2009-04-27,0.0,-1.0,5200.0,-0.0714285714285714,0,-1.0,0,-1.0
2009-04-28,0.0,,5850.0,0.125,0,,0,
2009-04-29,1000.0,inf,6400.0,0.09401709401709413,21,inf,1,inf
2009-04-30,0.0,-1.0,6550.0,0.0234375,0,-1.0,0,-1.0
2009-05-01,0.0,,6050.0,-0.07633587786259544,0,,0,
2009-05-02,749.91,inf,6300.0,0.04132231404958686,16,inf,2,inf
2009-05-03,110.0,-0.8533157312210798,5300.0,-0.15873015873015872,4,-0.75,3,0.5
2009-05-04,1500.0,12.636363636363637,6400.0,0.2075471698113207,31,6.75,1,-0.6666666666666667
2009-05-05,500.0,-0.6666666666666667,6750.0,0.0546875,11,-0.6451612903225806,1,0.0
2009-05-06,0.0,-1.0,6750.0,0.0,0,-1.0,0,-1.0
2009-05-07,0.0,,6050.0,-0.10370370370370374,0,,0,
2009-05-08,0.0,,5400.0,-0.1074380165289256,0,,0,
2009-05-09,0.0,,3900.0,-0.2777777777777778,0,,0,
2009-05-10,0.0,,4250.0,0.08974358974358965,0,,0,
2009-05-11,99.9,inf,6000.0,0.41176470588235303,3,inf,1,inf
2009-05-12,0.0,-1.0,6500.0,0.08333333333333326,0,-1.0,0,-1.0
2009-05-13,150.01,inf,5550.0,-0.1461538461538462,6,inf,5,inf
2009-05-14,199.99,0.3331777881474569,6950.0,0.25225225225225234,6,0.0,3,-0.4
2009-05-15,500.0,1.5001250062503124,6800.0,-0.021582733812949617,11,0.8333333333333333,1,-0.6666666666666667
2009-05-16,0.0,-1.0,5950.0,-0.125,0,-1.0,0,-1.0
2009-05-17,0.0,,6350.0,0.0672268907563025,0,,0,
2009-05-18,0.0,,5900.0,-0.07086614173228345,0,,0,
2009-05-19,0.0,,4300.0,-0.27118644067796616,0,,0,
2009-05-20,0.0,,6000.0,0.39534883720930236,0,,0,
2009-05-21,0.0,,4100.0,-0.31666666666666665,0,,0,
2009-05-22,0.0,,3050.0,-0.25609756097560976,0,,0,
2009-05-23,0.0,,1600.0,-0.47540983606557374,0,,0,
2009-05-24,0.0,,5000.0,2.125,0,,0,
2009-05-25,0.0,,5450.0,0.09000000000000008,0,,0,
2009-05-26,0.0,,6250.0,0.14678899082568808,0,,0,
2009-05-27,0.0,,5950.0,-0.04800000000000004,0,,0,
2009-05-28,0.0,,4750.0,-0.2016806722689075,0,,0,
2009-05-29,3000.0,inf,5300.0,0.11578947368421044,61,inf,1,inf
2009-05-30,0.0,-1.0,5450.0,0.028301886792452935,0,-1.0,0,-1.0
2009-05-31,0.0,,4800.0,-0.11926605504587151,0,,0,
2009-06-01,50.0,inf,3550.0,-0.26041666666666663,2,inf,1,inf
2009-06-02,0.0,-1.0,5550.0,0.5633802816901408,0,-1.0,0,-1.0
2009-06-03,0.0,,3550.0,-0.36036036036036034,0,,0,
2009-06-04,0.0,,3300.0,-0.07042253521126762,0,,0,
2009-06-05,0.0,,1500.0,-0.5454545454545454,0,,0,
2009-06-06,0.0,,1400.0,-0.06666666666666665,0,,0,
2009-06-07,0.0,,800.0,-0.4285714285714286,0,,0,
2009-06-08,0.0,,4100.0,4.125,0,,0,
